capability,current_source,evidence,owner,upgrade_or_fork_surface,remaining_gap,decision,reopen_or_revalidate_condition
"Human identity / app lifecycle","Amazon Cognito User Pools + agentgateway JWT policy","Operational Human E2E (de-identified) + Lab 02 contract","Identity/IT + Platform","app client; callback; scope; claims; JWKS; Gateway policy","Not an enterprise-wide joiner/mover/leaver Identity Center","KEEP","Revalidate on client/claim/audience changes; reassess unified IdP when enterprise lifecycle owner exists"
"M2M / Service access","Cognito Client Credentials + runtime service credential","Operational M2M E2E (de-identified) + Lab 02 contract","Identity/Platform + Application","client secret; custom scope; token lifetime; rotation; Gateway policy","Client secret is not workload instance attestation; rotation and offboarding need owners","KEEP","Revalidate when credential form, scope, or runtime deployment model changes"
"Workload instance identity","No verified workload-attestation source","Day 7 identity boundary + Kubernetes/SPIFFE docs; no live E2E","Owner not assigned; Platform + Security + Application required","ServiceAccount token issuer/audience/rotation; pod binding; runtime injection; Gateway mapping","Client Credentials identify the app client, not the executing workload instance","UNKNOWN","Before per-instance attribution, secretless authentication, or workload-bound policy is required, select a mechanism and run live E2E"
"Human to Runtime to Tool delegation","Delegation Context v0.1; no unified exchange service","Lab 02 + standards review","Identity + Runtime + Resource Server","context schema; actor binding; target; subject/actor token; replay protection","Production exchange, credential binding, and multi-agent propagation unverified","DEFER","Reopen when on-behalf-of or cross-agent actions become production requirements"
"LLM/MCP/A2A traffic enforcement","agentgateway","Operational evidence + Lab 03/04","Platform/SRE","chart/CRD; Gateway API; route; policy; CEL; xDS; telemetry; dashboard","Business authorization remains with the application/resource server","KEEP","Revalidate on agentgateway, Gateway API, or policy-schema upgrades"
"Agent runtime / business logic","BYO Google ADK","Lab 01/03/04","Agent Application Team","framework; Tool callback; state/memory; filesystem; A2A adapter; eval","No platform-wide guarantee for portability, sandbox, or long-term memory","KEEP","Revalidate on ADK/MCP/A2A SDK or Tool-contract changes"
"Deployment/discovery control plane","kagent candidate","Lab 03 deployment + Agent Card + Agent-as-Tool with explicit untested boundaries","Platform + Agent Application","CRD/controller/chart; generated config; BYO adapter; A2A contract","Self-service demand, advanced workflow, memory, and sandbox ownership unresolved","DEFER","Reopen when cross-team discovery or unified deployment becomes a requirement"
"HITL pause/resume contract","BYO Runtime + kagent-compatible input-required/resume adapter","Lab 03 approve/reject + task/context continuity + synthetic actor; authentication/authz untested","Agent Application + Platform + Identity/Security","A2A task/context; callback; approval UI; actor binding; decision receipt; replay protection","Approver authentication/authorization, production callback, and audit receipt unverified","DEFER","Before side-effecting Tools require centralized approval, revalidate with a real IdP, approver policy, and callback"
"Artifact identity / promotion","Git review + immutable OCI digest","Lab 03 mutable-tag risk + image locks","Application + Platform + Security","Dockerfile/lock; digest; signature; SBOM; admission; promotion receipt","Signature, attestation, admission, and production promotion chain incomplete","ADOPT","Revalidate on image, build pipeline, or admission-policy changes"
"Cross-team catalog / reconciliation","Agent Registry candidate","Private 0.3.3 evaluation + public 0.4.0 Lab","Platform; Security/Application alignment required","API/schema; controller; database; kagent adapter; auth providers; CLI","Catalog owner, Git/Registry write path, immutable artifact, promotion, authz, and audit unresolved","DEFER","Reopen when catalog self-service and its ownership/auth/promotion model are agreed together"
"Telemetry / correlation","Alloy + LGTM + agentgateway telemetry","Long-term operational experience + Lab 04","SRE/Observability Platform","collector; semantic conventions; labels/metadata; PII; retention; query; dashboard","Completeness, PII, cardinality, and cross-backend retention require ongoing governance","KEEP","Revalidate on collector, backend, schema, or label-strategy changes"
"Governance Event / incident replay","Governance Event v1 + replay tooling","Lab 05","Platform + Security/Risk + Application","event schema; normalizer; provenance; correlation query; case lock","Production ingestion, access, retention, and incident workflow not integrated","ADOPT","Revalidate on event schema, Tool contract, policy decision, or evidence-backend changes"
"Tamper-evident Audit storage","No verified implementation","Day 26 UNKNOWN","Owner not assigned; Security/Risk + Platform required","event-time signature; hash chain; append-only/WORM; access audit; retention; legal hold","Completeness, integrity, privileged deletion, and long-term preservation unverified","UNKNOWN","Assign purpose and owner before evaluating storage and query controls"
"Cost attribution","agentgateway model-catalog estimate; Provider billing/invoice not yet joined to the same evidence chain","Lab 04 PARTIAL","Platform/FinOps + Model Consumer","model catalog; pricing version; route/team mapping; usage; invoice","Missing usage, shared overhead, discounts, and invoice-grade reconciliation incomplete","KEEP","Revalidate on provider/model/price/fallback changes or before chargeback"
